"# COVERS FURNITURE, TOOLS, SMARTPHONE, CRAFTPHONE, AND ONLY CYRANO'S PHOTOS (all photos have the same body colors/format)",,,,,,,,,
ID,Filename Prefix,Item,Variant,Body Color,Pattern,Body Color Category,Pattern Category,Item Type,Full ID
4764,FtrDoorOrnamentFish,fish doorplate,1_0,Red,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_1_0
4764,FtrDoorOrnamentFish,fish doorplate,2_0,Orange,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_2_0
4764,FtrDoorOrnamentFish,fish doorplate,3_0,Yellow,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_3_0
4764,FtrDoorOrnamentFish,fish doorplate,4_0,Green,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_4_0
4764,FtrDoorOrnamentFish,fish doorplate,5_0,Blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_5_0
4764,FtrDoorOrnamentFish,fish doorplate,6_0,Black,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_6_0
4764,FtrDoorOrnamentFish,fish doorplate,7_0,Gray,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_7_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,0_0,Pink,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_0_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,1_0,Blue,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_1_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,2_0,Monotone,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_2_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,3_0,Light blue,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_3_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,4_0,Green,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_4_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,5_0,Orange,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_5_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,6_0,Red,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_6_0
5309,FtrDoorOrnamentPlateHeart,heart doorplate,7_0,Purple,NA,NA,NA,DoorDeco,FtrDoorOrnamentPlateHeart_Remake_7_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,0_0,Black,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_0_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,1_0,Yellow,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_1_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,2_0,Green,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_2_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,3_0,Pink,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_3_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,4_0,Purple,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_4_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,5_0,Red,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_5_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,6_0,Gray,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_6_0
5310,FtrDoorOrnamentPlateInsect,spider doorplate,7_0,Blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentPlateInsect_Remake_7_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,0_0,Light wood,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_0_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,1_0,Light blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_1_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,2_0,Dark gray,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_2_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,3_0,Natural wood,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_3_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,4_0,Dark brown,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_4_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,5_0,White,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_5_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,6_0,Blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_6_0
5716,FtrDoorOrnamentPaw,paw-print doorplate,7_0,Pink,NA,Color,NA,DoorDeco,FtrDoorOrnamentPaw_Remake_7_0
5717,FtrDoorOrnamentCrest,crest doorplate,0_0,Silver,NA,Color,NA,DoorDeco,FtrDoorOrnamentCrest_Remake_0_0
5717,FtrDoorOrnamentCrest,crest doorplate,1_0,Gold & silver,NA,Color,NA,DoorDeco,FtrDoorOrnamentCrest_Remake_1_0
5717,FtrDoorOrnamentCrest,crest doorplate,2_0,Silver & blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentCrest_Remake_2_0
5717,FtrDoorOrnamentCrest,crest doorplate,3_0,Red & white,NA,Color,NA,DoorDeco,FtrDoorOrnamentCrest_Remake_3_0
5717,FtrDoorOrnamentCrest,crest doorplate,4_0,Silver & green,NA,Color,NA,DoorDeco,FtrDoorOrnamentCrest_Remake_4_0
5717,FtrDoorOrnamentCrest,crest doorplate,5_0,Colorful,NA,Color,NA,DoorDeco,FtrDoorOrnamentCrest_Remake_5_0
5718,FtrDoorOrnamentLog,timber doorplate,0_0,Natural wood,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_0_0
5718,FtrDoorOrnamentLog,timber doorplate,1_0,Brown,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_1_0
5718,FtrDoorOrnamentLog,timber doorplate,2_0,Dark brown,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_2_0
5718,FtrDoorOrnamentLog,timber doorplate,3_0,Light brown,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_3_0
5718,FtrDoorOrnamentLog,timber doorplate,4_0,Ash brown,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_4_0
5718,FtrDoorOrnamentLog,timber doorplate,5_0,Black,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_5_0
5718,FtrDoorOrnamentLog,timber doorplate,6_0,Blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_6_0
5718,FtrDoorOrnamentLog,timber doorplate,7_0,Pink,NA,Color,NA,DoorDeco,FtrDoorOrnamentLog_Remake_7_0
5719,FtrDoorOrnamentFossil,fossil doorplate,0_0,Gray,NA,Color,NA,DoorDeco,FtrDoorOrnamentFossil_Remake_0_0
5719,FtrDoorOrnamentFossil,fossil doorplate,1_0,Blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentFossil_Remake_1_0
2377,ToolAngling,fishing rod,0_0,Blue,NA,Color,NA,FishingRod,ToolAngling_Remake_0_0
2377,ToolAngling,fishing rod,1_0,Yellow,NA,Color,NA,FishingRod,ToolAngling_Remake_1_0
2377,ToolAngling,fishing rod,2_0,Green,NA,Color,NA,FishingRod,ToolAngling_Remake_2_0
2377,ToolAngling,fishing rod,3_0,Red,NA,Color,NA,FishingRod,ToolAngling_Remake_3_0
2377,ToolAngling,fishing rod,4_0,Purple,NA,Color,NA,FishingRod,ToolAngling_Remake_4_0
2377,ToolAngling,fishing rod,5_0,Pink,NA,Color,NA,FishingRod,ToolAngling_Remake_5_0
2377,ToolAngling,fishing rod,6_0,White,NA,Color,NA,FishingRod,ToolAngling_Remake_6_0
2377,ToolAngling,fishing rod,7_0,Black,NA,Color,NA,FishingRod,ToolAngling_Remake_7_0
8471,ToolFishingrodColorful,fish fishing rod,0_0,Green,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_0_0
8471,ToolFishingrodColorful,fish fishing rod,1_0,Yellow,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_1_0
8471,ToolFishingrodColorful,fish fishing rod,2_0,Orange,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_2_0
8471,ToolFishingrodColorful,fish fishing rod,3_0,Light blue,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_3_0
8471,ToolFishingrodColorful,fish fishing rod,4_0,Blue,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_4_0
8471,ToolFishingrodColorful,fish fishing rod,5_0,Purple,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_5_0
8471,ToolFishingrodColorful,fish fishing rod,6_0,Pink,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_6_0
8471,ToolFishingrodColorful,fish fishing rod,7_0,Red,NA,Color,NA,FishingRod,ToolFishingrodColorful_Remake_7_0
8472,ToolFishingrodDuck,colorful fishing rod,0_0,Yellow,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_0_0
8472,ToolFishingrodDuck,colorful fishing rod,1_0,Orange,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_1_0
8472,ToolFishingrodDuck,colorful fishing rod,2_0,Light blue,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_2_0
8472,ToolFishingrodDuck,colorful fishing rod,3_0,Pink,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_3_0
8472,ToolFishingrodDuck,colorful fishing rod,4_0,Green,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_4_0
8472,ToolFishingrodDuck,colorful fishing rod,5_0,Purple,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_5_0
8472,ToolFishingrodDuck,colorful fishing rod,6_0,White,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_6_0
8472,ToolFishingrodDuck,colorful fishing rod,7_0,Gray,NA,Color,NA,FishingRod,ToolFishingrodDuck_Remake_7_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,0_0,Avocado,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_0_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,1_0,Orange,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_1_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,2_0,Light blue,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_2_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,3_0,Red,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_3_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,4_0,Beige,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_4_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,5_0,Pink,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_5_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,6_0,Yellow,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_6_0
8473,ToolFishingrodOutdoor,outdoorsy fishing rod,7_0,Black,NA,Color,NA,FishingRod,ToolFishingrodOutdoor_Remake_7_0
80,FtrKatakatatoy,clackercart,0_0,Natural,NA,Paint color,NA,Ftr,FtrKatakatatoy_Remake_0_0
80,FtrKatakatatoy,clackercart,1_0,Colorful,NA,Paint color,NA,Ftr,FtrKatakatatoy_Remake_1_0
80,FtrKatakatatoy,clackercart,2_0,Pop,NA,Paint color,NA,Ftr,FtrKatakatatoy_Remake_2_0
80,FtrKatakatatoy,clackercart,3_0,Cool,NA,Paint color,NA,Ftr,FtrKatakatatoy_Remake_3_0
80,FtrKatakatatoy,clackercart,4_0,Pastel,NA,Paint color,NA,Ftr,FtrKatakatatoy_Remake_4_0
80,FtrKatakatatoy,clackercart,5_0,Cute,NA,Paint color,NA,Ftr,FtrKatakatatoy_Remake_5_0
83,FtrRockinghorse,rocking horse,0_0,Natural,NA,Paint color,NA,Ftr,FtrRockinghorse_Remake_0_0
83,FtrRockinghorse,rocking horse,1_0,Colorful,NA,Paint color,NA,Ftr,FtrRockinghorse_Remake_1_0
83,FtrRockinghorse,rocking horse,2_0,White,NA,Paint color,NA,Ftr,FtrRockinghorse_Remake_2_0
83,FtrRockinghorse,rocking horse,3_0,Pastel,NA,Paint color,NA,Ftr,FtrRockinghorse_Remake_3_0
83,FtrRockinghorse,rocking horse,4_0,Blue,NA,Paint color,NA,Ftr,FtrRockinghorse_Remake_4_0
83,FtrRockinghorse,rocking horse,5_0,Pop,NA,Paint color,NA,Ftr,FtrRockinghorse_Remake_5_0
85,FtrRailroad,train set,0_0,Spring,NA,NA,NA,Ftr,FtrRailroad_Remake_0_0
85,FtrRailroad,train set,1_0,Summer,NA,NA,NA,Ftr,FtrRailroad_Remake_1_0
85,FtrRailroad,train set,2_0,Fall,NA,NA,NA,Ftr,FtrRailroad_Remake_2_0
85,FtrRailroad,train set,3_0,Winter,NA,NA,NA,Ftr,FtrRailroad_Remake_3_0
86,FtrSlideelephant,elephant slide,0_0,Blue,NA,NA,NA,Ftr,FtrSlideelephant_Remake_0_0
86,FtrSlideelephant,elephant slide,1_0,Pink,NA,NA,NA,Ftr,FtrSlideelephant_Remake_1_0
86,FtrSlideelephant,elephant slide,2_0,Red,NA,NA,NA,Ftr,FtrSlideelephant_Remake_2_0
86,FtrSlideelephant,elephant slide,3_0,Light blue,NA,NA,NA,Ftr,FtrSlideelephant_Remake_3_0
86,FtrSlideelephant,elephant slide,4_0,Yellow,NA,NA,NA,Ftr,FtrSlideelephant_Remake_4_0
86,FtrSlideelephant,elephant slide,5_0,White,NA,NA,NA,Ftr,FtrSlideelephant_Remake_5_0
86,FtrSlideelephant,elephant slide,6_0,Gray,NA,NA,NA,Ftr,FtrSlideelephant_Remake_6_0
86,FtrSlideelephant,elephant slide,7_0,Black,NA,NA,NA,Ftr,FtrSlideelephant_Remake_7_0
88,FtrQuoits,ringtoss,0_0,Natural,NA,Paint color,NA,Ftr,FtrQuoits_Remake_0_0
88,FtrQuoits,ringtoss,1_0,Colorful,NA,Paint color,NA,Ftr,FtrQuoits_Remake_1_0
88,FtrQuoits,ringtoss,2_0,Pastel,NA,Paint color,NA,Ftr,FtrQuoits_Remake_2_0
88,FtrQuoits,ringtoss,3_0,Cool,NA,Paint color,NA,Ftr,FtrQuoits_Remake_3_0
131,FtrManekineko,lucky cat,0_0,White,NA,Variation,NA,Ftr,FtrManekineko_Remake_0_0
131,FtrManekineko,lucky cat,1_0,Black,NA,Variation,NA,Ftr,FtrManekineko_Remake_1_0
144,FtrManhole,manhole cover,0_0,Silver,NA,Cover design,NA,Ftr,FtrManhole_Remake_0_0
144,FtrManhole,manhole cover,1_0,Bronze,NA,Cover design,NA,Ftr,FtrManhole_Remake_1_0
144,FtrManhole,manhole cover,2_0,Mountain,NA,Cover design,NA,Ftr,FtrManhole_Remake_2_0
144,FtrManhole,manhole cover,3_0,Boat,NA,Cover design,NA,Ftr,FtrManhole_Remake_3_0
144,FtrManhole,manhole cover,4_0,Castle,NA,Cover design,NA,Ftr,FtrManhole_Remake_4_0
146,FtrPylon,cone,0_0,Red,NA,NA,NA,Ftr,FtrPylon_Remake_0_0
146,FtrPylon,cone,1_0,Blue,NA,NA,NA,Ftr,FtrPylon_Remake_1_0
146,FtrPylon,cone,2_0,Yellow,NA,NA,NA,Ftr,FtrPylon_Remake_2_0
146,FtrPylon,cone,3_0,White,NA,NA,NA,Ftr,FtrPylon_Remake_3_0
146,FtrPylon,cone,4_0,Red stripes,NA,NA,NA,Ftr,FtrPylon_Remake_4_0
146,FtrPylon,cone,5_0,Green stripes,NA,NA,NA,Ftr,FtrPylon_Remake_5_0
146,FtrPylon,cone,6_0,Reflective stripes,NA,NA,NA,Ftr,FtrPylon_Remake_6_0
146,FtrPylon,cone,7_0,Caution stripes,NA,NA,NA,Ftr,FtrPylon_Remake_7_0
287,FtrExercisebike,exercise bike,0_0,Black,NA,NA,NA,Ftr,FtrExercisebike_Remake_0_0
287,FtrExercisebike,exercise bike,1_0,Red,NA,NA,NA,Ftr,FtrExercisebike_Remake_1_0
287,FtrExercisebike,exercise bike,2_0,Yellow,NA,NA,NA,Ftr,FtrExercisebike_Remake_2_0
287,FtrExercisebike,exercise bike,3_0,White,NA,NA,NA,Ftr,FtrExercisebike_Remake_3_0
290,FtrRunningmachine,treadmill,0_0,Black,NA,NA,NA,Ftr,FtrRunningmachine_Remake_0_0
290,FtrRunningmachine,treadmill,1_0,Red,NA,NA,NA,Ftr,FtrRunningmachine_Remake_1_0
290,FtrRunningmachine,treadmill,2_0,Blue,NA,NA,NA,Ftr,FtrRunningmachine_Remake_2_0
290,FtrRunningmachine,treadmill,3_0,White,NA,NA,NA,Ftr,FtrRunningmachine_Remake_3_0
330,FtrBarbecuegrill,barbecue,0_0,Red,NA,NA,NA,Ftr,FtrBarbecuegrill_Remake_0_0
330,FtrBarbecuegrill,barbecue,1_0,Yellow,NA,NA,NA,Ftr,FtrBarbecuegrill_Remake_1_0
330,FtrBarbecuegrill,barbecue,2_0,Green,NA,NA,NA,Ftr,FtrBarbecuegrill_Remake_2_0
330,FtrBarbecuegrill,barbecue,3_0,White,NA,NA,NA,Ftr,FtrBarbecuegrill_Remake_3_0
330,FtrBarbecuegrill,barbecue,4_0,Black,NA,NA,NA,Ftr,FtrBarbecuegrill_Remake_4_0
331,FtrBirdbus,birdbath,0_0,Natural,NA,Body color,NA,Ftr,FtrBirdbus_Remake_0_0
331,FtrBirdbus,birdbath,1_0,Red,NA,Body color,NA,Ftr,FtrBirdbus_Remake_1_0
331,FtrBirdbus,birdbath,2_0,White,NA,Body color,NA,Ftr,FtrBirdbus_Remake_2_0
331,FtrBirdbus,birdbath,3_0,Black,NA,Body color,NA,Ftr,FtrBirdbus_Remake_3_0
333,FtrBirdhouse,birdhouse,0_0,Natural,NA,Paint color,NA,Ftr,FtrBirdhouse_Remake_0_0
333,FtrBirdhouse,birdhouse,1_0,Dark brown,NA,Paint color,NA,Ftr,FtrBirdhouse_Remake_1_0
333,FtrBirdhouse,birdhouse,2_0,Natural & white,NA,Paint color,NA,Ftr,FtrBirdhouse_Remake_2_0
333,FtrBirdhouse,birdhouse,3_0,Red & white,NA,Paint color,NA,Ftr,FtrBirdhouse_Remake_3_0
333,FtrBirdhouse,birdhouse,4_0,Blue,NA,Paint color,NA,Ftr,FtrBirdhouse_Remake_4_0
333,FtrBirdhouse,birdhouse,5_0,White,NA,Paint color,NA,Ftr,FtrBirdhouse_Remake_5_0
335,FtrFlamingoMale,Mr. Flamingo,0_0,Natural,NA,NA,NA,Ftr,FtrFlamingoMale_Remake_0_0
335,FtrFlamingoMale,Mr. Flamingo,1_0,White,NA,NA,NA,Ftr,FtrFlamingoMale_Remake_1_0
336,FtrFlamingoFemale,Mrs. Flamingo,0_0,Natural,NA,NA,NA,Ftr,FtrFlamingoFemale_Remake_0_0
336,FtrFlamingoFemale,Mrs. Flamingo,1_0,White,NA,NA,NA,Ftr,FtrFlamingoFemale_Remake_1_0
338,FtrLawnmower,lawn mower,0_0,Red,NA,NA,NA,Ftr,FtrLawnmower_Remake_0_0
338,FtrLawnmower,lawn mower,1_0,Orange,NA,NA,NA,Ftr,FtrLawnmower_Remake_1_0
338,FtrLawnmower,lawn mower,2_0,Blue,NA,NA,NA,Ftr,FtrLawnmower_Remake_2_0
338,FtrLawnmower,lawn mower,3_0,Yellow,NA,NA,NA,Ftr,FtrLawnmower_Remake_3_0
338,FtrLawnmower,lawn mower,4_0,Green,NA,NA,NA,Ftr,FtrLawnmower_Remake_4_0
383,FtrAcorsticguitar,acoustic guitar,0_0,Natural,NA,Body,NA,Ftr,FtrAcorsticguitar_Remake_0_0
383,FtrAcorsticguitar,acoustic guitar,1_0,Cherry,NA,Body,NA,Ftr,FtrAcorsticguitar_Remake_1_0
383,FtrAcorsticguitar,acoustic guitar,2_0,Brown,NA,Body,NA,Ftr,FtrAcorsticguitar_Remake_2_0
383,FtrAcorsticguitar,acoustic guitar,3_0,Blue,NA,Body,NA,Ftr,FtrAcorsticguitar_Remake_3_0
383,FtrAcorsticguitar,acoustic guitar,4_0,White,NA,Body,NA,Ftr,FtrAcorsticguitar_Remake_4_0
383,FtrAcorsticguitar,acoustic guitar,5_0,Black,NA,Body,NA,Ftr,FtrAcorsticguitar_Remake_5_0
383,FtrAcorsticguitar,acoustic guitar,6_0,Pink,NA,Body,NA,Ftr,FtrAcorsticguitar_Remake_6_0
530,FtrHariboteGrass,grass standee,0_0,Spring,NA,Season,NA,Ftr,FtrHariboteGrass_Remake_0_0
530,FtrHariboteGrass,grass standee,1_0,Summer,NA,Season,NA,Ftr,FtrHariboteGrass_Remake_1_0
530,FtrHariboteGrass,grass standee,2_0,Fall,NA,Season,NA,Ftr,FtrHariboteGrass_Remake_2_0
530,FtrHariboteGrass,grass standee,3_0,Winter,NA,Season,NA,Ftr,FtrHariboteGrass_Remake_3_0
531,FtrHariboteHedge,hedge standee,0_0,Spring,NA,Season,NA,Ftr,FtrHariboteHedge_Remake_0_0
531,FtrHariboteHedge,hedge standee,1_0,Azalea,NA,Season,NA,Ftr,FtrHariboteHedge_Remake_1_0
531,FtrHariboteHedge,hedge standee,2_0,Summer,NA,Season,NA,Ftr,FtrHariboteHedge_Remake_2_0
531,FtrHariboteHedge,hedge standee,3_0,Hydrangea,NA,Season,NA,Ftr,FtrHariboteHedge_Remake_3_0
531,FtrHariboteHedge,hedge standee,4_0,Hibiscus,NA,Season,NA,Ftr,FtrHariboteHedge_Remake_4_0
531,FtrHariboteHedge,hedge standee,5_0,Fall,NA,Season,NA,Ftr,FtrHariboteHedge_Remake_5_0
